Year,FTAs in India (in Million),FTAs in India - Percentage change over previous year,NRIs arrivals in India (in Millions),NRIs arrivals in India - Percentage change over previous year,International Tourist arrivals in India (in Millions),International Tourist arrivals in India - Percentage change over previous year
1991,1.68,-1.7,NA,NA,NA,NA
2001,2.54,-4.2,NA,NA,NA,NA
2002,2.38,-6,NA,NA,NA,NA
2003,2.73,14.3,NA,NA,NA,NA
2004,3.46,26.8,NA,NA,NA,NA
2005,3.92,13.3,NA,NA,NA,NA
2006,4.45,13.5,NA,NA,NA,NA
2007,5.08,14.3,NA,NA,NA,NA
2008,5.28,4,NA,NA,NA,NA
2009,5.17,-2.2,NA,NA,NA,NA
2010,5.78,11.8,NA,NA,NA,NA
2011,6.31,9.2,NA,NA,NA,NA
2012,6.58,4.3,NA,NA,NA,NA
2013,6.97,5.9,NA,NA,NA,NA
2014,7.68,10.2,5.43,NA,13.11,NA
2015,8.03,4.5,5.26,-3.1,13.28,1.4
2016,8.8,9.7,5.77,9.7,14.57,9.7
2017,10.04,14,5.51,-4.5,15.54,6.7
2018,9.37,5.6,NA,NA,NA,NA
