Region/Country ,Number of Arrivals - 2015,Number of Arrivals - 2016,Number of Arrivals - 2017,Percentage Share - 2015,Percentage Share - 2016,Percentage Share - 2017,Percentage Change - 2016/2015,Percentage Change - 2017/2016
South Asia,1946207,2194555,2951665,24.25,24.93,29.41,12.8,34.5
Western Europe,1880203,2029412,2133673,23.42,23.05,21.26,7.9,5.1
North America,1494930,1614178,1712358,18.62,18.33,17.06,8,6.1
South East Asia,700298,746069,824575,8.72,8.47,8.22,6.5,10.5
East Asia,555770,617563,663295,6.92,7.01,6.61,11.1,7.4
West Asia,417616,451842,457760,5.2,5.13,4.56,8.2,1.3
Eastern Europe,331051,406002,472872,4.12,4.61,4.71,22.6,16.5
Australasia,312101,348908,386059,3.89,3.96,3.85,11.8,10.6
Africa,293569,302164,318023,3.66,3.43,3.17,2.9,5.2
Central and South America,70831,78730,92067,0.88,0.89,0.92,11.2,16.9
Not Classified elsewhere,24557,14988,23456,0.31,0.17,0.23,-39,56.5
Grand Total,8027133,8804411,10035803,100,100,100,9.7,14
