Nationality,Country of Nationality,Arrivals,0 - 14 years,15 - 24 years,25 - 34 years,35 - 44 years,45 - 54 years,55 - 64 years,65 and Above years
North America,Canada,335439,14.9,6.7,11.5,16.8,19.2,15.6,15.3
North America,U.S.A,1376919,19.7,7.1,10,16.1,21,14.6,11.5
North America,Total,1712358,18.8,7,10.3,16.2,20.7,14.8,12.2
Central and South Amercia,Argentina,14875,1.4,5.8,28.7,20.1,16.4,16.8,10.8
Central and South Amercia,Brazil,24453,2.6,7.1,28.9,24.9,16.5,13.6,6.4
Central and South Amercia,Mexico,18114,2.7,9,28.9,21.3,17.1,14.8,6.3
Central and South Amercia,Others,34625,4.1,7.3,30.2,20.9,17,14.1,6.4
Central and South Amercia,Total,92067,3,7.3,29.4,21.9,16.8,14.5,7.1
Western Europe,Austria,31832,5.1,9,16.1,17.4,24.2,19,9.2
Western Europe,Belgium,41902,7.2,8,16.5,20.7,24,16.1,7.5
Western Europe,Denmark,26761,5.2,10.5,12.8,18.4,26.1,16.3,10.7
Western Europe,Finland,20384,4.8,6.5,16.9,23.7,23.9,16.4,7.8
Western Europe,France,249620,5.9,8.2,15.7,18,21.2,17.8,13.1
Western Europe,Germany,269380,4.4,7.5,17.3,18.2,26.1,17.2,9.3
Western Europe,Greece,10286,1.8,6,25.9,23.4,21.9,15.1,6
Western Europe,Ireland,37993,16.1,7.6,16.1,26,19,10.3,4.9
Western Europe,Italy,111915,5.6,6.1,17,20.7,24.4,16.5,9.7
Western Europe,Netherlands,76652,4.7,7.3,16.4,19.7,26.3,17.8,7.8
Western Europe,Norway,20882,8.1,12.1,15.6,17.3,21.4,16.3,9.1
Western Europe,Portugal,66378,8.1,10.8,23.1,23.4,17.2,11.6,5.7
Western Europe,Spain,81442,3.3,7.7,23.5,23.4,19.8,14.9,7.4
Western Europe,Sweden,45851,6.7,8.1,14.8,18.9,23.8,16.8,11
Western Europe,Switzerland,49607,4.4,8.3,15.3,15.2,23.5,20.8,12.5
Western Europe,U.K.,986296,11.7,6.1,12.1,19.4,20,17.3,13.5
Western Europe,Others,6492,2.4,7.8,26.3,18.8,16.6,18,10
Western Europe,Total,2133673,8.4,7.1,14.9,19.5,21.7,17,11.4
Eastern Europe,Czech Rep.,11852,2.8,6.3,28.8,29,18.8,10.2,4.2
Eastern Europe,Hungary,9241,2.6,6,28.4,28.2,17.3,11,6.5
Eastern Europe,Kazakhstan,15421,10.2,9,29.7,20.6,15.1,11.7,3.7
Eastern Europe,Poland,28674,3.2,6.3,30.1,27.7,16.3,11.3,5
Eastern Europe,Russian Fed.,278904,6.3,7,33.2,22.4,17.7,10.8,2.7
Eastern Europe,Ukraine,25988,3.8,10.4,35.8,23.4,16.2,8.3,2.1
Eastern Europe,Others,102792,4.6,8.2,32.4,24.7,16.4,10.6,3.1
Eastern Europe,Total,472872,5.6,7.4,32.7,23.5,17.2,10.7,3
Africa,Egypt,20528,2.2,7.4,42.6,26.4,14.2,5.5,1.6
Africa,Kenya,46011,6.8,8.4,21.8,21.8,18.9,14.1,8.3
Africa,Mauritius,37706,6.2,8,15.9,22,22.3,17.1,8.5
Africa,Nigeria,12651,4.3,11.8,22.4,24.8,21.1,12,3.6
Africa,South Africa,57060,7.8,8.6,15.7,19.2,21.5,17.3,10
Africa,Sudan,22762,5.7,16.4,23.3,21.8,16.3,12.4,4.1
Africa,Tanzania,22261,7,12.1,17.5,20.8,19.6,14,9
Africa,Others,99044,3.9,14.1,33.6,21.5,14.4,9,3.5
Africa,Total,318023,5.5,11.1,24.9,21.6,18,12.6,6.3
West Asia,Bahrain,16764,8.3,10.5,23.1,15.1,21.6,14.7,6.6
