Year,Arrivals,% distribution by mode of travel - Air,% distribution by mode of travel - Sea,% distribution by mode of travel - Land
2001,2537282,87.1,0.9,12
2002,2384364,81.9,0.6,17.5
2003,2726214,83.1,0.5,16.4
2004,3457477,85.6,0.5,13.9
2005,3918610,86.5,0.4,13.1
2006,4447167,87.1,0.6,12.3
2007,5081504,88.4,0.6,11
2008,5282603,89.1,0.7,10.2
2009,5167699,89.8,1,9.2
2010,5775692,91.8,0.7,7.5
2011,6309222,92,0.8,7.2
2012,6577745,91.7,0.7,7.6
2013,6967601,91,0.5,8.5
2014,7679099,86.1,0.4,13.5
2015,8027133,84.5,0.7,14.8
2016,8804411,84.1,0.9,15
2017,10035803,79.6,0.7,19.7
2018,10557976,79.6,0.8,19.6
2019,10930355,77.4,0.9,21.7
2020,2744766,79.2,1.5,19.3
