Category,Country of Nationality,Arrivals (in Numbers),0-14,15-24,25-34,35-44,45-54,55-64,65 and Above
North America,Canada,351040,14.8,6.5,11.2,16.6,19.5,15.7,15.7
North America,United States,1456678,19.7,7.1,9.6,15.8,21.4,14.7,11.7
North America,Total,1807718,18.8,6.9,9.9,15.9,21.1,14.9,12.5
Central & South America,Argentina,16345,1.8,5.3,28.4,21.1,16.2,16.1,11.1
Central & South America,Brazil,26579,2.5,6.4,26.6,26.5,16.6,13.9,7.5
Central & South America,Mexico,19909,2.9,8,27.4,21.9,16.7,15.8,7.3
Central & South America,Others,38252,4.2,6.8,29.8,21.5,16.5,14.3,6.9
Central & South America,Total,101085,3.1,6.7,28.3,22.8,16.5,14.8,7.8
Western Europe,Austria,33200,5,8.6,15.9,16.3,23.1,19.8,11.3
Western Europe,Belgium,44086,7.1,8,15.9,19.5,23.2,17,9.3
Western Europe,Denmark,28195,5.8,10.7,12.2,17.2,25.6,16.8,11.7
Western Europe,Finland,21239,4.9,6.5,16.7,23.3,24.3,16.2,8.1
Western Europe,France,261653,5.8,8,15.9,16.8,21.1,18.1,14.3
Western Europe,Germany,274087,4.5,7.4,17.1,17.6,24.7,18.5,10.2
Western Europe,Greece,10656,2.1,4.8,24.5,23.1,22.1,16.2,7.2
Western Europe,Ireland,39276,15.5,7.5,14.6,25.8,19.7,11.1,5.8
Western Europe,Italy,126931,5.6,5.8,16.9,19.6,24.5,17.1,10.5
Western Europe,Netherlands,81615,4.5,7.1,16.4,18.6,26.4,18.5,8.5
Western Europe,Norway,22631,9,11.6,15.6,17.2,20.7,16.2,9.7
Western Europe,Portugal,74492,8,10.7,22.7,23.2,17.8,11.5,6.1
Western Europe,Spain,84356,3.4,7.8,23.6,22.6,20,15.1,7.5
Western Europe,Sweden,46743,7.1,6.9,14.8,18.9,23,16.7,12.6
Western Europe,Switzerland,49322,4.3,8.5,15.2,14.5,22.9,21.3,13.3
Western Europe,United Kingdom,1029757,11.6,5.9,11.1,19.1,20.1,17.6,14.6
Western Europe,Others,15396,2.5,7.4,26.7,19.5,16.5,16.1,11.3
Western Europe,Total,2243635,8.4,6.9,14.5,18.9,21.5,17.4,12.4
Eastern Europe,Czech Republic,13413,2.9,5.8,28.5,28.4,18.8,10.7,4.9
Eastern Europe,Hungary,9201,2.8,4.9,27.4,28,18.4,11.4,7.1
Eastern Europe,Kazakhistan,13314,9.6,8.9,29,21.5,15,12,4
Eastern Europe,Poland,31555,3.5,5.6,28,28.1,17.2,12.3,5.3
Eastern Europe,Russian Federation,262309,6.3,6.6,31.7,23.2,17.9,11.4,2.9
Eastern Europe,Ukraine,26260,3.5,10.9,35.7,22.6,15.8,9.3,2.2
Eastern Europe,Others,109997,3.9,7.7,32.4,26.2,16.4,10.3,3.1
Eastern Europe,Total,466049,5.3,7,31.6,24.4,17.4,11.1,3.2
Africa,Egypt,20486,2.1,4.8,40.9,28.5,15.5,6.5,1.7
Africa,Kenya,48845,6.6,8.6,21.7,21.8,18.1,14.6,8.6
Africa,Mauritius,42096,5.9,9,16.6,21.3,20.6,17.2,9.4
Africa,Nigeria,12067,5.3,10,21.7,25.2,20.7,13.1,4
Africa,South Africa,58613,7.3,7.8,16.1,19.3,21.3,17.5,10.7
Africa,Sudan,34712,4.8,11,22.8,24.6,19.6,13.1,4.1
Africa,United Republic Of Tanzan,23443,6.7,11.7,18.2,20.7,19.8,13.7,9.2
Africa,Others,110936,3.9,13.6,34.5,21.5,14.2,8.6,3.7
Africa,Total,351198,5.3,10.4,25.2,21.9,17.9,12.8,6.5
West Asia,Bahrain,13915,8.7,10.2,22.6,15.2,19.5,15.7,8.1
West Asia,Iraq,68462,6.1,8.2,21,20.6,20.5,15.8,7.8
West Asia,Israel,67366,4.4,18.6,19.4,16.4,17,14.1,10.1
West Asia,Oman,95160,12.4,9.5,23.4,22.4,14.5,11.1,6.7
West Asia,Saudi Arabia,47546,8.1,10,26.4,22,17.4,11.1,5
West Asia,Turkey,33825,1.2,3.9,38.4,28.7,15,9.3,3.5
West Asia,United Arab Emirates,59971,14,11.2,19.3,17.9,14.7,14.5,8.4
West Asia,Yemen,21674,8.5,17.9,22.5,20.9,14.2,10.6,5.4
West Asia,Others,41629,4.4,9,26.7,23.3,18.2,13.1,5.3
West Asia,Total,449548,8.1,10.9,23.6,20.9,16.6,12.8,7.1
South Asia,Afghanistan,153905,12.2,18.6,29.1,16.5,11.3,8,4.3
South Asia,Bangladesh,2256675,7.3,10.2,21.2,25.4,19.6,11.3,5
South Asia,Bhutan,26470,3.3,17.4,32.2,20.6,15,7.1,4.4
South Asia,Iran,35596,5.7,9.1,27.7,23.5,16.5,11.9,5.6
South Asia,Maldives,62337,13.6,10,22.4,19.6,17,11.1,6.3
South Asia,Nepal,174096,3.7,18.6,27.2,23.1,15.8,8,3.6
South Asia,Pakistan,41659,17.6,14,15.8,15.9,15.6,12.3,8.8
South Asia,Sri Lanka,353684,4.8,7.4,13.8,16.6,19.4,22.4,15.6
South Asia,Total,3104422,7.3,10.8,21.2,23.5,18.8,12.2,6.2
South East Asia,Indonesia,46867,2.9,9.4,27.8,24.3,19.4,11.3,4.9
South East Asia,Malaysia,319172,7.4,11.5,20.4,19.8,18.8,15.9,6.2
South East Asia,Myanmar (burma),75773,1.3,4.4,12.5,14.6,21.9,27.2,18.1
South East Asia,Philippines,53473,2.7,6.9,40.6,28.3,14.5,5.8,1.2
South East Asia,Singapore,183581,7.4,7.7,15.6,20.3,26.8,15.8,6.4
South East Asia,Thailand,166293,2.8,5.7,19.3,22.5,19.8,18.7,11.2
South East Asia,Vietnam,31427,1.4,5.7,25.1,23.5,17.7,17.4,9.2
South East Asia,Others,10502,1.9,8.8,23.3,18.8,15.3,17.3,14.6
South East Asia,Total,887088,5.2,8.1,20.4,20.8,20.6,16.6,8.3
East Asia,China,281768,1.3,6.9,38.5,28.5,15.2,6.5,3.1
East Asia,Japan,236236,3.3,6,17.9,23.8,26.3,15,7.7
East Asia,Republic Of Korea,150536,4.5,6.7,17.7,24.5,23.9,17.4,5.3
East Asia,Taiwan,49457,1.3,4.8,20.9,23.9,22.5,18.1,8.5
East Asia,Others,6571,4.5,9.2,25.1,25.9,18,10.5,6.8
East Asia,Total,724568,2.6,6.4,26.1,25.8,21.2,12.4,5.5
Australasia,Australia,346486,20.3,6.3,15.3,23.1,15.6,11.4,8
Australasia,New Zealand,60664,17.1,7.7,14.3,17.2,19.9,15.1,8.7
Australasia,Others,5478,4.6,6.6,20.4,21.4,21.4,17.4,8.2
Australasia,Total,412628,19.6,6.5,15.2,22.2,16.3,12.1,8.1
Not Classified Elsewhere,Not Classified Elsewhere - Total,10037,4.7,7.4,24.8,26.8,21.3,11,4
Grand Total,Grand Total,10557976,9.3,8.4,18.6,21,19.8,14.2,8.7
