STATE/Uts,Note of States /Uts,1996,1997,1998
STATE,Andhra Pradesh,18836,19745,21424
STATE,Arunachal Pradesh,230,158,205
STATE,Assam,1146,1187,1246
STATE,Bihar,5255,5344,7167
STATE,Goa,1021,1575,1313
STATE,Gujarat,21479,23746,25361
STATE,Haryana,4067,4575,4413
STATE,Himachal Pradesh,1704,1640,1639
STATE,Jammu & Kashmir,3335,4019,4242
STATE,Karnataka,20930,31302,30177
STATE,Kerala ,35731,34656,32836
STATE,Madhya Pradesh,23260,21192,22608
STATE,Maharashtra,34426,34035,33875
STATE,Manipur ,399,396,411
STATE,Meghalaya,107,100,95
STATE,Mizoram ,71,39,44
STATE,Nagaland,132,87,47
STATE,Orissa,5429,6393,6777
STATE,Punjab,1286,834,1083
STATE,Rajasthan,6434,19946,20798
STATE,Sikkim,83,75,85
STATE,Tamil Nadu,42197,44203,46723
STATE,Tripura,562,582,297
STATE,Uttar Pradesh ,12737,13685,16118
STATE,West Bengal,8504,8806,9195
Total (States),Total (States),249361,278320,288179
Uts,Andaman & Nicobar Islands,94,89,120
Uts,Chandigarh,382,397,348
Uts,Dadra & Nagar Haveli,34,75,83
Uts,Daman & Diu,64,89,64
Uts,Delhi,11314,10956,10217
Uts,Lakshadweep,0,0,3
Uts,Pondicherry,833,929,990
Total (Ut),Total (Uts),12721,12535,11825
Grand Total,Grand Total,262082,290855,300004
